EEID,FullName,JobTitle,Department,BusinessUnit,Gender,Ethnicity,Age,HireDate,AnnualSalary,Bonus%,Country,City,ExitDate
E00001,Lisa Lambert,Director,Finance,Speciality,Female,Other,53,09-01-1996,"$93,212",12%,Germany,Chongqing,02-02-2024
E00002,Michele Todd,Manager,Sales,Corporate,Female,Caucasian,59,13-05-2018,"$57,289",4%,India,Rio de Janeiro,########
E00003,Jennifer Clark,Engineer,IT,Speciality,Male,Other,51,19-01-2004,"$81,675",1%,India,Columbus,########
E00004,Mrs. Samantha Brown,Consultant,Finance,Manufacturing,Female,Latino,22,08-06-2009,"$131,948",7%,China,Austin,########
E00005,Mark Lewis,Sr. Manager,Research,Corporate,Female,Latino,28,07-04-2013,"$110,360",7%,India,Manaus,########
E00006,Gregory Kirby,Consultant,Sales,Corporate,Female,Black,52,03-09-1998,"$92,386",20%,Germany,Chicago,########
E00007,Crystal Garcia,Engineer,Research,Corporate,Male,Asian,40,24-01-2008,"$121,561",2%,Germany,Phoenix,30-11-2022
E00008,Mary Allen,Engineer,Engineering,Manufacturing,Male,Other,30,02-05-2022,"$104,704",3%,China,Columbus,########
E00009,Scott Brown,Vice President,Marketing,Speciality,Female,Other,42,28-10-2003,"$188,743",16%,Germany,Seattle,########
E00010,Anna Herrera,Director,Marketing,Corporate,Female,Asian,29,15-04-2005,"$80,637",7%,China,Rio de Janeiro,########
E00011,Paula Caldwell,Coordinator,IT,Manufacturing,Male,Asian,54,06-07-1998,"$52,174",18%,Germany,Columbus,########
E00012,Wesley Hall,Sr. Manager,Research,Speciality,Female,Caucasian,51,06-06-1995,"$87,315",10%,United States,Seattle,16-09-2020
E00013,Joshua Rodriguez,Sr. Manager,Research,Speciality,Male,Black,54,21-11-2019,"$70,101",1%,Germany,Chicago,########
E00014,Ryan Wise,Analyst,Finance,Corporate,Male,Caucasian,39,25-11-2021,"$195,596",27%,India,Chongqing,########
E00015,Holly Jones,Analyst,Research,Speciality,Female,Latino,38,21-07-2020,"$123,138",4%,Brazil,Shanghai,04-10-2021
E00016,Pedro Glenn,Consultant,Research,Speciality,Male,Latino,30,10-12-2006,"$146,856",23%,United States,Columbus,07-08-2023
E00017,Michael Bennett,Coordinator,Research,Corporate,Female,Asian,36,18-04-2000,"$62,432",0%,Brazil,Seattle,22-06-2020
E00018,Dr. Brian Shaw,Technical,Sales,Manufacturing,Female,Black,40,08-08-2013,"$57,900",16%,Germany,Austin,########
E00019,Carl King,Coordinator,Research,Manufacturing,Female,Asian,47,09-07-2007,"$125,549",16%,Germany,Shanghai,########
E00020,Terry Cook,Coordinator,Finance,Corporate,Male,Latino,50,25-04-2018,"$148,063",12%,Brazil,Miami,########
E00021,David Peck,Technical,Marketing,Manufacturing,Female,Caucasian,53,04-11-2012,"$99,443",7%,Brazil,Columbus,########
E00022,Thomas Hayes,Technical,Finance,Manufacturing,Female,Caucasian,38,02-01-1995,"$142,530",2%,United States,Chongqing,24-05-2023
E00023,Tammy Chavez,Engineer,IT,Corporate,Female,Asian,31,19-06-2006,"$119,368",17%,Brazil,Phoenix,########
E00024,Max Ferguson,Sr. Manager,IT,Corporate,Male,Black,54,16-02-2000,"$53,824",26%,India,Columbus,########
E00025,Juan Navarro,Consultant,Marketing,Corporate,Female,Asian,43,29-09-1997,"$198,571",6%,United States,Shanghai,########
E00026,Samantha Warner,Vice President,Research,Corporate,Female,Black,50,08-10-2022,"$82,331",6%,India,Austin,30-05-2022
E00027,Daniel Phillips,Manager,Engineering,Speciality,Female,Asian,24,12-12-2010,"$76,362",6%,China,Phoenix,20-02-2021
E00028,Cameron Russell,Director,Finance,Manufacturing,Female,Latino,55,16-06-2022,"$108,423",23%,United States,Chongqing,########
E00029,Miguel Davis,Engineer,Research,Manufacturing,Female,Caucasian,24,31-07-1996,"$76,802",5%,India,Columbus,########
E00030,Thomas Ramsey,Vice President,Research,Manufacturing,Female,Other,57,18-05-2014,"$62,994",19%,India,Seattle,########
E00031,Molly Lee,Vice President,Engineering,Corporate,Male,Asian,58,09-11-2003,"$69,992",15%,United States,Manaus,########
E00032,Heather Young,Manager,Sales,Corporate,Female,Black,56,27-12-2010,"$93,700",13%,China,Seattle,27-11-2022
E00033,Philip Shaw,Consultant,Research,Corporate,Female,Latino,41,24-02-2010,"$183,455",15%,United States,Columbus,########
E00034,Sierra Gilbert,Engineer,Marketing,Manufacturing,Female,Black,56,06-07-2015,"$126,625",26%,China,Phoenix,03-03-2023
E00035,Theresa Taylor,Director,Sales,Manufacturing,Female,Other,56,04-09-2002,"$99,011",9%,India,Columbus,########
E00036,Damon Spencer,Vice President,Sales,Speciality,Male,Asian,24,03-01-2006,"$151,887",1%,China,Seattle,02-07-2022
E00037,Anthony Love,Sr. Manager,Research,Manufacturing,Female,Asian,48,08-04-2009,"$56,789",23%,Germany,Seattle,########
E00038,Frank Allen,Coordinator,Marketing,Manufacturing,Female,Black,55,24-02-2003,"$138,460",15%,India,Chicago,########
E00039,Jose Friedman,Vice President,Marketing,Speciality,Male,Other,25,10-11-2019,"$145,744",2%,Germany,Seattle,########
E00040,Mr. Andrew Smith,Coordinator,IT,Manufacturing,Male,Caucasian,33,11-10-2012,"$53,360",23%,Brazil,Chongqing,15-09-2024
E00041,Tammy Mullins,Sr. Manager,Finance,Corporate,Female,Asian,26,07-07-2004,"$129,923",5%,India,Chongqing,########
E00042,Whitney Foley,Consultant,Marketing,Speciality,Male,Caucasian,33,16-10-2010,"$142,658",18%,Brazil,Chongqing,########
E00043,Nicholas Whitehead,Vice President,Marketing,Manufacturing,Male,Other,22,23-12-1997,"$199,281",5%,India,Rio de Janeiro,########
E00044,Mercedes Preston,Coordinator,Finance,Speciality,Female,Latino,39,28-11-2001,"$156,003",26%,India,Seattle,########
E00045,Ethan Taylor,Manager,Finance,Corporate,Female,Black,58,20-10-2010,"$122,469",5%,India,Rio de Janeiro,########
E00046,Leslie Conley,Sr. Manager,Engineering,Corporate,Male,Latino,45,08-03-2007,"$178,408",19%,Germany,Seattle,08-12-2022
E00047,Kathleen Flores,Director,Engineering,Corporate,Male,Black,44,18-08-2009,"$115,336",11%,United States,Austin,########
E00048,Samantha Mack,Analyst,Marketing,Manufacturing,Female,Latino,43,14-06-2013,"$88,511",18%,India,Shanghai,########
E00049,Allen Acosta,Engineer,Marketing,Corporate,Male,Caucasian,33,11-03-2022,"$139,780",23%,India,Phoenix,########
E00050,Jamie Patel,Manager,Finance,Corporate,Female,Black,46,07-08-2016,"$99,390",0%,China,Chongqing,21-06-2021
E00051,Andrew Galvan,Technical,Marketing,Speciality,Male,Other,34,17-10-2005,"$186,420",6%,China,Shanghai,########
E00052,Jay West,Sr. Manager,Marketing,Manufacturing,Female,Latino,50,17-01-2019,"$83,823",5%,Germany,Chicago,13-06-2020
E00053,Crystal Bullock,Analyst,Research,Manufacturing,Male,Asian,35,07-10-2008,"$182,411",18%,United States,Columbus,########
E00054,Linda Lopez,Analyst,Engineering,Speciality,Male,Asian,27,10-03-2017,"$151,553",1%,United States,Columbus,########
E00055,Samantha Nelson,Director,Finance,Corporate,Female,Other,43,03-06-2019,"$87,250",6%,United States,Chongqing,########
E00056,Teresa Spencer,Consultant,Research,Corporate,Male,Black,27,02-03-2004,"$169,445",1%,China,Rio de Janeiro,19-03-2022
E00057,Marc Perez,Manager,Sales,Manufacturing,Female,Latino,60,19-05-2009,"$159,755",24%,India,Shanghai,########
E00058,Amber Ball,Analyst,Research,Manufacturing,Male,Caucasian,58,22-03-2001,"$146,080",21%,United States,Rio de Janeiro,########
E00059,Melanie Nelson,Engineer,IT,Speciality,Male,Caucasian,57,27-11-2005,"$83,229",1%,India,Chongqing,########
